date,price
2024-01-02,106.1500015258789
2024-01-03,109.25
2024-01-04,112.4000015258789
2024-01-05,115.25
2024-01-08,113.19999694824219
2024-01-09,111.1500015258789
2024-01-10,109.0
2024-01-11,107.25
2024-01-12,108.55000305175781
2024-01-16,108.0
2024-01-17,107.0
2024-01-18,106.9000015258789
2024-01-19,106.25
2024-01-22,105.55000305175781
2024-01-23,105.5
2024-01-24,105.9000015258789
2024-01-25,105.69999694824219
2024-01-26,106.06999969482422
2024-01-29,94.4000015258789
2024-01-30,96.0
2024-01-31,99.55000305175781
2024-02-01,97.44999694824219
2024-02-02,98.5
2024-02-05,98.19999694824219
2024-02-06,98.5
2024-02-07,98.5
2024-02-08,97.4000015258789
2024-02-09,96.0
2024-02-12,94.4000015258789
2024-02-13,94.0
2024-02-14,94.1500015258789
2024-02-15,94.5
2024-02-16,94.5
2024-02-20,94.75
2024-02-21,95.1500015258789
2024-02-22,95.6500015258789
2024-02-23,95.7699966430664
2024-02-26,98.69999694824219
2024-02-27,100.9000015258789
2024-02-28,103.6500015258789
2024-02-29,103.8499984741211
2024-03-01,107.0
2024-03-04,111.0
2024-03-05,112.5
2024-03-06,112.1500015258789
2024-03-07,110.75
2024-03-08,111.1500015258789
2024-03-11,109.0
2024-03-12,109.25
2024-03-13,109.5
2024-03-14,111.1500015258789
2024-03-15,112.3499984741211
2024-03-18,112.4000015258789
2024-03-19,112.6500015258789
2024-03-20,112.25
2024-03-21,112.4000015258789
2024-03-22,113.0
2024-03-25,113.75
2024-03-26,113.9000015258789
2024-03-27,114.05000305175781
2024-03-28,114.44000244140625
2024-04-01,119.75
2024-04-02,121.6500015258789
2024-04-03,118.9000015258789
2024-04-04,116.25
2024-04-05,117.94999694824219
2024-04-08,118.0
2024-04-09,117.9000015258789
2024-04-10,118.25
2024-04-11,120.75
2024-04-12,122.0
2024-04-15,120.69999694824219
2024-04-16,121.6500015258789
2024-04-17,120.1500015258789
2024-04-18,120.4000015258789
2024-04-19,119.9000015258789
2024-04-22,119.1500015258789
2024-04-23,119.0
2024-04-24,118.3499984741211
2024-04-25,118.6500015258789
2024-04-26,118.77999877929688
2024-04-29,101.3499984741211
2024-04-30,103.1500015258789
2024-05-01,105.5
2024-05-02,107.75
2024-05-03,107.0
2024-05-06,107.0
2024-05-07,108.75
2024-05-08,106.30000305175781
2024-05-09,107.25
2024-05-10,106.9000015258789
2024-05-13,105.75
2024-05-14,105.25
2024-05-15,105.5
2024-05-16,106.4000015258789
2024-05-17,105.0
2024-05-20,106.25
2024-05-21,106.5
2024-05-22,105.25
2024-05-23,105.6500015258789
2024-05-24,105.4000015258789
2024-05-28,105.5
2024-05-29,105.5
2024-05-30,105.5
2024-05-31,106.04000091552734
2024-06-03,118.94999694824219
2024-06-04,116.5
2024-06-05,111.4000015258789
2024-06-06,109.6500015258789
2024-06-07,108.6500015258789
2024-06-10,109.55000305175781
2024-06-11,108.80000305175781
2024-06-12,109.6500015258789
2024-06-13,110.30000305175781
2024-06-14,109.80000305175781
2024-06-17,109.0
2024-06-18,109.1500015258789
2024-06-20,110.6500015258789
2024-06-21,109.4000015258789
2024-06-24,109.0
2024-06-25,108.9000015258789
2024-06-26,108.6500015258789
2024-06-27,108.5
