date,price
2024-01-02,7.544764518737793
2024-01-03,7.85598611831665
2024-01-04,7.940864562988281
2024-01-05,7.874847888946533
2024-01-08,7.969156742095947
2024-01-09,8.063467025756836
2024-01-10,8.09175968170166
2024-01-11,7.893710136413574
2024-01-12,7.969156742095947
2024-01-15,8.120052337646484
2024-01-16,8.15777587890625
2024-01-17,8.063467025756836
2024-01-18,7.959726333618164
2024-01-19,7.714521408081055
2024-01-22,7.6013503074646
2024-01-23,7.780538082122803
2024-01-24,7.969156742095947
2024-01-25,8.195499420166016
2024-01-26,8.374689102172852
2024-01-29,8.4124116897583
2024-01-30,8.25208568572998
2024-01-31,8.261516571044922
2024-02-01,8.006880760192871
2024-02-02,8.167206764221191
2024-02-05,8.063467025756836
2024-02-06,8.063467025756836
2024-02-07,8.035174369812012
2024-02-08,8.242654800415039
2024-02-19,8.47842788696289
2024-02-20,8.440705299377441
2024-02-21,8.308671951293945
2024-02-22,8.468997955322266
2024-02-23,8.468997955322266
2024-02-26,8.233223915100098
2024-02-27,8.138915061950684
2024-02-28,8.384119033813477
2024-02-29,8.31810188293457
2024-03-01,8.138915061950684
2024-03-04,8.440705299377441
2024-03-05,8.610462188720703
2024-03-06,8.582169532775879
2024-03-07,8.75192642211914
2024-03-08,8.912252426147461
2024-03-11,8.83680534362793
2024-03-12,8.497291564941406
2024-03-13,8.535015106201172
2024-03-14,8.619894027709961
2024-03-15,8.75192642211914
2024-03-18,8.75192642211914
2024-03-19,8.657617568969727
2024-03-20,8.59160041809082
2024-03-21,8.47842788696289
2024-03-22,8.487859725952148
2024-03-25,8.553875923156738
2024-03-26,8.7424955368042
2024-03-27,8.648185729980469
2024-03-28,8.629323959350586
2024-03-29,8.846236228942871
2024-04-01,8.676478385925293
2024-04-02,8.912252426147461
2024-04-03,8.90282154083252
2024-04-08,9.2706298828125
2024-04-09,9.22347354888916
2024-04-10,9.232905387878418
2024-04-11,9.393231391906738
2024-04-12,9.52526569366455
2024-04-15,9.56298828125
2024-04-16,9.355507850646973
2024-04-17,9.478110313415527
2024-04-18,9.072579383850098
2024-04-19,9.025424003601074
2024-04-22,8.959406852722168
2024-04-23,8.780220031738281
2024-04-24,9.166889190673828
2024-04-25,8.93111515045166
2024-04-26,8.883960723876953
2024-04-29,8.695341110229492
2024-04-30,8.827373504638672
2024-05-06,8.90282154083252
2024-05-07,8.704771041870117
2024-05-08,8.629323959350586
2024-05-09,8.648185729980469
2024-05-10,8.733064651489258
2024-05-13,8.921684265136719
2024-05-14,8.949976921081543
2024-05-15,8.601031303405762
2024-05-16,8.421843528747559
2024-05-17,8.308671951293945
2024-05-20,8.450136184692383
2024-05-21,8.384119033813477
2024-05-22,8.402981758117676
2024-05-23,8.233223915100098
2024-05-24,8.421843528747559
2024-05-27,8.601031303405762
2024-05-28,8.59160041809082
2024-05-29,8.648185729980469
2024-05-30,8.402981758117676
2024-05-31,8.450136184692383
2024-06-03,8.487859725952148
2024-06-04,8.676478385925293
2024-06-05,8.582169532775879
2024-06-06,8.7424955368042
2024-06-07,8.865097045898438
2024-06-11,8.695341110229492
2024-06-12,8.808512687683105
2024-06-13,8.865097045898438
2024-06-14,8.723633766174316
2024-06-17,8.553875923156738
2024-06-18,8.619894027709961
2024-06-19,8.525583267211914
2024-06-20,8.601031303405762
2024-06-21,8.553875923156738
2024-06-24,8.723633766174316
2024-06-25,8.723633766174316
2024-06-26,8.68591022491455
2024-06-27,8.676478385925293
2024-06-28,9.072579383850098
2024-07-01,9.22347354888916
2024-07-02,9.2517671585083
2024-07-03,9.214043617248535
2024-07-04,9.176319122314453
2024-07-05,9.176319122314453
2024-07-08,9.166889190673828
2024-07-09,9.195181846618652
2024-07-10,8.817943572998047
2024-07-11,8.644475936889648
2024-07-12,8.384273529052734
2024-07-15,8.499918937683105
2024-07-16,8.480645179748535
2024-07-17,8.278265953063965
2024-07-18,8.442096710205078
2024-07-19,8.432459831237793
2024-07-22,8.152983665466309
2024-07-23,7.93133020401001
2024-07-24,8.008427619934082
2024-07-25,7.989152908325195
2024-07-26,7.969879150390625
2024-07-29,8.046976089477539
2024-07-30,7.9120564460754395
2024-07-31,7.661491394042969
2024-08-01,7.459112644195557
2024-08-02,7.26637077331543
2024-08-05,7.102540016174316
2024-08-06,7.247096538543701
2024-08-07,7.26637077331543
2024-08-08,7.160362720489502
2024-08-09,7.121814250946045
2024-08-12,7.092903137207031
2024-08-13,7.092903137207031
2024-08-14,7.121814250946045
2024-08-15,7.218184947967529
2024-08-16,7.121814250946045
2024-08-19,7.083265781402588
2024-08-20,6.97725772857666
2024-08-21,6.919435024261475
2024-08-22,6.9483466148376465
2024-08-23,6.861612796783447
